age,region
-0.07912402377224126,VisCent_ExStr_1
-0.058121566282578106,VisCent_ExStr_2
-0.11462505437107558,VisCent_ExStr_3
-0.09232591786313038,VisCent_ExStr_4
-0.0687513250600493,VisCent_ExStr_5
-0.08684758777412996,VisCent_ExStr_6
-0.0789900689851214,VisCent_Striate_1
-0.11213844706253788,VisCent_ExStr_7
-0.06334346154733714,VisCent_ExStr_8
-0.14033215399627355,VisCent_ExStr_9
-0.07584493942203668,VisCent_ExStr_10
-0.07533350961502167,VisCent_ExStr_11
-0.10468854339942814,VisPeri_ExStrInf_1
-0.09886839101711893,VisPeri_ExStrInf_2
-0.09033533658779203,VisPeri_ExStrInf_3
-0.16324812605290875,VisPeri_ExStrInf_4
-0.12977376324644194,VisPeri_ExStrInf_5
-0.07159977793904049,VisPeri_StriCal_1
-0.1218760016449618,VisPeri_StriCal_2
-0.14374007390949406,VisPeri_ExStrSup_1
-0.0805096740194639,VisPeri_ExStrSup_2
-0.06729667764047403,VisPeri_ExStrSup_3
NA,VisPeri_ExStrSup_4
-0.09674171681848981,VisPeri_ExStrSup_5
-0.11488655094857185,SomMotA_1
-0.10889561344492113,SomMotA_2
NA,SomMotA_3
NA,SomMotA_4
-0.07859161377883835,SomMotA_5
-0.05802365079060989,SomMotA_6
-0.06321178739370627,SomMotA_7
-0.05556698508680765,SomMotA_8
NA,SomMotA_9
-0.04428859361930441,SomMotA_10
-0.11735564162332165,SomMotA_11
-0.05261687890725007,SomMotA_12
-0.04789426022858425,SomMotA_13
-0.0376888262329263,SomMotA_14
-0.06318461424022047,SomMotA_15
-0.06223044566793927,SomMotA_16
-0.061243744257524435,SomMotA_17
-0.03711464003335372,SomMotA_18
-0.06385933100784577,SomMotA_19
NA,SomMotB_Aud_1
-0.08048892408595336,SomMotB_Aud_2
-0.05471765149920653,SomMotB_Ins_1
-0.03809487614762046,SomMotB_S2_1
-0.03082143360644962,SomMotB_S2_2
-0.0865848582609711,SomMotB_Aud_3
NA,SomMotB_Aud_4
-0.07475389897506471,SomMotB_S2_3
-0.06630566707306516,SomMotB_S2_4
-0.11469134091305568,SomMotB_S2_5
-0.05292830786280905,SomMotB_S2_6
-0.07553724233035544,SomMotB_Cent_1
NA,SomMotB_Cent_2
-0.05508438725037437,SomMotB_Cent_3
NA,SomMotB_Cent_4
NA,SomMotB_Cent_5
-0.06278339550741936,DorsAttnA_TempOcc_1
-0.04585065906572213,DorsAttnA_TempOcc_2
-0.06425152353510771,DorsAttnA_TempOcc_3
-0.12422709984984227,DorsAttnA_TempOcc_4
-0.057190440772325074,DorsAttnA_ParOcc_1
-0.0670172232600063,DorsAttnA_ParOcc_2
NA,DorsAttnA_SPL_1
-0.05326938270770314,DorsAttnA_SPL_2
-0.09430672651236968,DorsAttnA_SPL_3
-0.17897615976978973,DorsAttnA_SPL_4
-0.06561013580339753,DorsAttnA_SPL_5
-0.14592891087973914,DorsAttnA_SPL_6
-0.06672778287728169,DorsAttnA_SPL_7
-0.11610664114378966,DorsAttnB_PostC_1
NA,DorsAttnB_PostC_2
-0.06246221660039968,DorsAttnB_PostC_3
-0.03946530882978378,DorsAttnB_PostC_4
-0.05642248441148983,DorsAttnB_PostC_5
-0.08145411663932062,DorsAttnB_PostC_6
-0.04527606848184547,DorsAttnB_PostC_7
-0.0729552615920522,DorsAttnB_PostC_8
-0.05635580709088489,DorsAttnB_PostC_9
-0.16519617818290064,DorsAttnB_FEF_1
-0.04825489914522325,DorsAttnB_FEF_2
-0.16911890576346297,DorsAttnB_FEF_3
-0.0785280315706513,DorsAttnB_PrCv_1
-0.1129756893989272,SalVentAttnA_ParOper_1
-0.05508846114368621,SalVentAttnA_ParOper_2
-0.10850784931804607,SalVentAttnA_ParOper_3
-0.06821002635345332,SalVentAttnA_Ins_1
NA,SalVentAttnA_Ins_2
-0.03925319420177843,SalVentAttnA_Ins_3
-0.04590997441383697,SalVentAttnA_Ins_4
-0.12743467215219095,SalVentAttnA_FrOper_1
-0.09431876017701799,SalVentAttnA_FrOper_2
-0.06580239241367304,SalVentAttnA_ParMed_1
-0.14545807474355696,SalVentAttnA_ParMed_2
-0.04963423760415864,SalVentAttnA_ParMed_3
-0.08697058888668711,SalVentAttnA_FrMed_1
-0.07129053461712104,SalVentAttnA_FrMed_2
NA,SalVentAttnA_FrMed_3
-0.10251511308460474,SalVentAttnB_PFCl_1
-0.06196446097103057,SalVentAttnB_PFCl_2
-0.04624873599221967,SalVentAttnB_PFCl_3
-0.055318179232606714,SalVentAttnB_Ins_1
-0.10172832843617895,SalVentAttnB_Ins_2
-0.08554971714793089,SalVentAttnB_Ins_3
-0.0672669782683176,SalVentAttnB_OFC_1
-0.0600075255382381,SalVentAttnB_PFCmp_1
-0.04276645068054988,LimbicB_OFC_1
-0.04261034686385198,LimbicB_OFC_2
-0.0632297527424335,LimbicB_OFC_3
-0.09724282532851007,LimbicB_OFC_4
NA,LimbicB_OFC_5
-0.04486433305302634,LimbicA_TempPole_1
-0.05111121186022919,LimbicA_TempPole_2
-0.16093573420865598,LimbicA_TempPole_3
-0.06119805798493631,LimbicA_TempPole_4
-0.07577660772801033,LimbicA_TempPole_5
-0.0361319015784034,LimbicA_TempPole_6
-0.11902201214567375,LimbicA_TempPole_7
-0.19449582344588504,ContA_Temp_1
-0.08780893434928087,ContA_IPS_1
-0.08284715916435781,ContA_IPS_2
-0.08146046574929496,ContA_IPS_3
-0.08963037358746653,ContA_IPS_4
-0.11860324786634334,ContA_IPS_5
-0.06442208240951874,ContA_PFCd_1
-0.06378304798125772,ContA_PFClv_1
-0.0853201294489208,ContA_PFClv_2
-0.07810812193849972,ContA_PFCl_1
NA,ContA_PFCl_2
-0.08921940411893947,ContA_PFCl_3
-0.03670149483149264,ContA_Cingm_1
-0.2285739262352621,ContB_Temp_1
-0.07754069966706424,ContB_Temp_2
-0.11095958165299291,ContB_IPL_1
-0.10708604418950222,ContB_IPL_2
-0.056168119042844654,ContB_IPL_3
-0.06807479751528067,ContB_PFCd_1
-0.08124341050550855,ContB_PFClv_1
-0.054594825171138464,ContB_PFClv_2
-0.05876458283422452,ContB_PFClv_3
-0.05114254320738813,ContB_PFCmp_1
-0.05659151030763294,ContC_pCun_1
-0.08761891454319636,ContC_pCun_2
-0.09586868743330833,ContC_pCun_3
NA,ContC_Cingp_1
NA,ContC_Cingp_2
-0.07279548847240959,DefaultA_IPL_1
-0.10147621525161186,DefaultA_IPL_2
-0.13720788386292887,DefaultA_PFCd_1
-0.11319060999492732,DefaultA_PFCd_2
-0.10691781912676074,DefaultA_PFCd_3
-0.06854975788985133,DefaultA_pCunPCC_1
-0.1058677893401669,DefaultA_pCunPCC_2
-0.1167495974405775,DefaultA_pCunPCC_3
-0.09128751728904992,DefaultA_pCunPCC_4
-0.16254184751582573,DefaultA_pCunPCC_5
-0.053415712146430976,DefaultA_pCunPCC_6
-0.04255522530685194,DefaultA_pCunPCC_7
-0.05365161168442191,DefaultA_PFCm_1
-0.10951635657573561,DefaultA_PFCm_2
-0.0872395706139181,DefaultA_PFCm_3
-0.1035571000358322,DefaultA_PFCm_4
NA,DefaultA_PFCm_5
-0.12286937828483777,DefaultA_PFCm_6
-0.07747547091033566,DefaultB_Temp_1
-0.08227244984544846,DefaultB_Temp_2
-0.13688013879919161,DefaultB_Temp_3
-0.09659344991125732,DefaultB_Temp_4
-0.11416463769256072,DefaultB_Temp_5
-0.06844570444431383,DefaultB_Temp_6
-0.0896557733391833,DefaultB_IPL_1
-0.04782016250597052,DefaultB_IPL_2
-0.14086457113115103,DefaultB_PFCd_1
-0.12391569343258815,DefaultB_PFCd_2
-0.11188735661774897,DefaultB_PFCd_3
-0.1683251384074289,DefaultB_PFCd_4
-0.13042744873624895,DefaultB_PFCd_5
-0.12215782337515814,DefaultB_PFCd_6
-0.06452401462852221,DefaultB_PFCl_1
-0.03255026922431738,DefaultB_PFCl_2
-0.09001994247930126,DefaultB_PFCv_1
-0.06552305461310172,DefaultB_PFCv_2
-0.06625794818451256,DefaultB_PFCv_3
-0.043178203278068136,DefaultB_PFCv_4
-0.10135487530621684,DefaultB_PFCv_5
-0.09869077803530603,DefaultC_IPL_1
-0.08548276911851585,DefaultC_Rsp_1
-0.07700173760606768,DefaultC_Rsp_2
-0.0504937733083318,DefaultC_Rsp_3
-0.0631783067191026,DefaultC_PHC_1
NA,DefaultC_PHC_2
-0.07212183998650015,DefaultC_PHC_3
NA,TempPar_1
-0.0714428717651086,TempPar_2
-0.07446689182965475,TempPar_3
-0.04901250453148777,TempPar_4
-0.0524684548454396,TempPar_5
NA,TempPar_6
-0.0986937425900826,VisCent_ExStr_1
-0.06362850195827864,VisCent_ExStr_2
-0.0887962117865515,VisCent_ExStr_3
-0.05962057718170183,VisCent_ExStr_4
NA,VisCent_ExStr_5
NA,VisCent_ExStr_6
-0.05955785656194711,VisCent_Striate_1
-0.05042606467342177,VisCent_ExStr_7
NA,VisCent_ExStr_8
-0.0656216444393358,VisCent_ExStr_9
-0.06491507318989025,VisCent_ExStr_10
-0.07830085178099569,VisCent_ExStr_11
-0.09550611275375322,VisPeri_ExStrInf_1
-0.0334622313365909,VisPeri_ExStrInf_2
-0.1489681945893356,VisPeri_ExStrInf_3
-0.1068137503303586,VisPeri_ExStrInf_4
-0.13508003502144555,VisPeri_ExStrInf_5
-0.1328332641785378,VisPeri_StriCal_1
-0.1280839423027432,VisPeri_StriCal_2
-0.08375350160357942,VisPeri_ExStrSup_1
-0.09273455804889648,VisPeri_ExStrSup_2
-0.073475055190898,VisPeri_ExStrSup_3
NA,VisPeri_ExStrSup_4
-0.03525195281183314,SomMotA_1
NA,SomMotA_2
-0.05412222417679645,SomMotA_3
-0.03506418152967808,SomMotA_4
-0.08746411944158604,SomMotA_5
-0.07902234424689912,SomMotA_6
-0.036314190835541695,SomMotA_7
-0.06773284453618912,SomMotA_8
-0.08532347680502697,SomMotA_9
-0.041947222522095616,SomMotA_10
-0.04324951492242167,SomMotA_11
-0.06799563590229657,SomMotA_12
-0.07407988280764172,SomMotA_13
NA,SomMotA_14
NA,SomMotA_15
-0.037897091627049795,SomMotA_16
-0.12411137501567387,SomMotA_17
-0.058767137311186206,SomMotA_18
NA,SomMotA_19
NA,SomMotA_20
NA,SomMotB_Aud_1
-0.06688668344899987,SomMotB_Aud_2
-0.0738357779192633,SomMotB_Ins_1
-0.051423377430557256,SomMotB_S2_1
-0.05604538014257351,SomMotB_S2_2
-0.11329402410235266,SomMotB_Aud_3
-0.09395030734968289,SomMotB_S2_3
-0.04642322552529786,SomMotB_S2_4
-0.05169574416513388,SomMotB_S2_5
-0.036463462339056014,SomMotB_S2_6
-0.09204359772916788,SomMotB_S2_7
-0.0862191710634773,SomMotB_S2_8
NA,SomMotB_Cent_1
-0.049565146267458185,SomMotB_Cent_2
NA,SomMotB_Cent_3
-0.0842855687982805,DorsAttnA_TempOcc_1
-0.041138283556746306,DorsAttnA_TempOcc_2
-0.08022493286116238,DorsAttnA_TempOcc_3
-0.06785247548983792,DorsAttnA_ParOcc_1
-0.052205717375920495,DorsAttnA_ParOcc_2
-0.08967793912007242,DorsAttnA_ParOcc_3
-0.041249960151847,DorsAttnA_SPL_1
-0.07054099988272797,DorsAttnA_SPL_2
NA,DorsAttnA_SPL_3
-0.08875804514443453,DorsAttnA_SPL_4
-0.13989203220109658,DorsAttnA_SPL_5
-0.06039837253723404,DorsAttnA_SPL_6
-0.04558287566312021,DorsAttnA_SPL_7
-0.06915369055988314,DorsAttnA_SPL_8
-0.11907677277504834,DorsAttnB_TempOcc_1
-0.09374028729798632,DorsAttnB_PostC_1
-0.03658442906682175,DorsAttnB_PostC_2
-0.04987187205526247,DorsAttnB_PostC_3
NA,DorsAttnB_PostC_4
NA,DorsAttnB_PostC_5
-0.15457920175104387,DorsAttnB_PostC_6
-0.08445887801387142,DorsAttnB_PostC_7
-0.054101647813848575,DorsAttnB_PostC_8
-0.10037745701832185,DorsAttnB_FEF_1
-0.10025815600413471,DorsAttnB_FEF_2
NA,DorsAttnB_FEF_3
-0.13097082408073815,SalVentAttnA_ParOper_1
-0.13794078916987257,SalVentAttnA_ParOper_2
-0.07869927400093499,SalVentAttnA_ParOper_3
-0.04335437813129631,SalVentAttnA_PrC_1
-0.030124569268201885,SalVentAttnA_Ins_1
NA,SalVentAttnA_Ins_2
-0.0428115636862759,SalVentAttnA_Ins_3
NA,SalVentAttnA_Ins_4
-0.06234090598992923,SalVentAttnA_FrOper_1
-0.05999963940228472,SalVentAttnA_FrOper_2
-0.08818821240368849,SalVentAttnA_FrOper_3
-0.13344875105630769,SalVentAttnA_FrMed_1
-0.06794082481214118,SalVentAttnA_ParMed_1
