age,region
NA,VisCent_ExStr_1
NA,VisCent_ExStr_2
NA,VisCent_ExStr_3
NA,VisCent_ExStr_4
NA,VisCent_ExStr_5
NA,VisCent_ExStr_6
NA,VisCent_Striate_1
NA,VisCent_ExStr_7
NA,VisCent_ExStr_8
NA,VisCent_ExStr_9
NA,VisCent_ExStr_10
NA,VisCent_ExStr_11
0.033607996005301594,VisPeri_ExStrInf_1
NA,VisPeri_ExStrInf_2
NA,VisPeri_ExStrInf_3
NA,VisPeri_ExStrInf_4
NA,VisPeri_ExStrInf_5
NA,VisPeri_StriCal_1
NA,VisPeri_StriCal_2
NA,VisPeri_ExStrSup_1
NA,VisPeri_ExStrSup_2
NA,VisPeri_ExStrSup_3
NA,VisPeri_ExStrSup_4
NA,VisPeri_ExStrSup_5
NA,SomMotA_1
NA,SomMotA_2
NA,SomMotA_3
NA,SomMotA_4
NA,SomMotA_5
NA,SomMotA_6
NA,SomMotA_7
NA,SomMotA_8
0.04430096151353194,SomMotA_9
0.04038073596275114,SomMotA_10
NA,SomMotA_11
NA,SomMotA_12
NA,SomMotA_13
NA,SomMotA_14
NA,SomMotA_15
NA,SomMotA_16
0.04706902130287108,SomMotA_17
NA,SomMotA_18
NA,SomMotA_19
NA,SomMotB_Aud_1
NA,SomMotB_Aud_2
0.04740021989218186,SomMotB_Ins_1
0.043785093790445144,SomMotB_S2_1
0.031597202246239416,SomMotB_S2_2
0.030527316879698164,SomMotB_Aud_3
0.05345136744525939,SomMotB_Aud_4
0.036786187649346186,SomMotB_S2_3
0.11317146456238104,SomMotB_S2_4
NA,SomMotB_S2_5
0.049508285379695705,SomMotB_S2_6
NA,SomMotB_Cent_1
NA,SomMotB_Cent_2
0.05144803849411602,SomMotB_Cent_3
NA,SomMotB_Cent_4
NA,SomMotB_Cent_5
NA,DorsAttnA_TempOcc_1
NA,DorsAttnA_TempOcc_2
NA,DorsAttnA_TempOcc_3
NA,DorsAttnA_TempOcc_4
NA,DorsAttnA_ParOcc_1
NA,DorsAttnA_ParOcc_2
NA,DorsAttnA_SPL_1
0.04660419673753108,DorsAttnA_SPL_2
0.0637399156582015,DorsAttnA_SPL_3
NA,DorsAttnA_SPL_4
NA,DorsAttnA_SPL_5
NA,DorsAttnA_SPL_6
NA,DorsAttnA_SPL_7
NA,DorsAttnB_PostC_1
NA,DorsAttnB_PostC_2
NA,DorsAttnB_PostC_3
NA,DorsAttnB_PostC_4
NA,DorsAttnB_PostC_5
NA,DorsAttnB_PostC_6
NA,DorsAttnB_PostC_7
-0.05288547604226173,DorsAttnB_PostC_8
NA,DorsAttnB_PostC_9
NA,DorsAttnB_FEF_1
NA,DorsAttnB_FEF_2
NA,DorsAttnB_FEF_3
NA,DorsAttnB_PrCv_1
NA,SalVentAttnA_ParOper_1
NA,SalVentAttnA_ParOper_2
NA,SalVentAttnA_ParOper_3
0.047575665969080964,SalVentAttnA_Ins_1
NA,SalVentAttnA_Ins_2
NA,SalVentAttnA_Ins_3
NA,SalVentAttnA_Ins_4
0.09869525456706084,SalVentAttnA_FrOper_1
0.04332459365632189,SalVentAttnA_FrOper_2
0.034373703505316086,SalVentAttnA_ParMed_1
0.03171903429488007,SalVentAttnA_ParMed_2
NA,SalVentAttnA_ParMed_3
NA,SalVentAttnA_FrMed_1
NA,SalVentAttnA_FrMed_2
NA,SalVentAttnA_FrMed_3
NA,SalVentAttnB_PFCl_1
NA,SalVentAttnB_PFCl_2
NA,SalVentAttnB_PFCl_3
NA,SalVentAttnB_Ins_1
NA,SalVentAttnB_Ins_2
0.06474107821050197,SalVentAttnB_Ins_3
NA,SalVentAttnB_OFC_1
NA,SalVentAttnB_PFCmp_1
NA,LimbicB_OFC_1
NA,LimbicB_OFC_2
NA,LimbicB_OFC_3
NA,LimbicB_OFC_4
NA,LimbicB_OFC_5
NA,LimbicA_TempPole_1
0.03419156418738823,LimbicA_TempPole_2
NA,LimbicA_TempPole_3
NA,LimbicA_TempPole_4
NA,LimbicA_TempPole_5
NA,LimbicA_TempPole_6
NA,LimbicA_TempPole_7
NA,ContA_Temp_1
NA,ContA_IPS_1
NA,ContA_IPS_2
NA,ContA_IPS_3
NA,ContA_IPS_4
NA,ContA_IPS_5
NA,ContA_PFCd_1
0.0569620485141079,ContA_PFClv_1
NA,ContA_PFClv_2
0.056854178710320634,ContA_PFCl_1
NA,ContA_PFCl_2
NA,ContA_PFCl_3
NA,ContA_Cingm_1
NA,ContB_Temp_1
NA,ContB_Temp_2
NA,ContB_IPL_1
NA,ContB_IPL_2
NA,ContB_IPL_3
NA,ContB_PFCd_1
NA,ContB_PFClv_1
NA,ContB_PFClv_2
NA,ContB_PFClv_3
0.05639074417828703,ContB_PFCmp_1
NA,ContC_pCun_1
NA,ContC_pCun_2
NA,ContC_pCun_3
NA,ContC_Cingp_1
NA,ContC_Cingp_2
NA,DefaultA_IPL_1
NA,DefaultA_IPL_2
NA,DefaultA_PFCd_1
0.09968276376490434,DefaultA_PFCd_2
NA,DefaultA_PFCd_3
NA,DefaultA_pCunPCC_1
NA,DefaultA_pCunPCC_2
NA,DefaultA_pCunPCC_3
NA,DefaultA_pCunPCC_4
NA,DefaultA_pCunPCC_5
NA,DefaultA_pCunPCC_6
NA,DefaultA_pCunPCC_7
NA,DefaultA_PFCm_1
NA,DefaultA_PFCm_2
NA,DefaultA_PFCm_3
NA,DefaultA_PFCm_4
NA,DefaultA_PFCm_5
NA,DefaultA_PFCm_6
NA,DefaultB_Temp_1
NA,DefaultB_Temp_2
NA,DefaultB_Temp_3
NA,DefaultB_Temp_4
NA,DefaultB_Temp_5
0.039913659279385776,DefaultB_Temp_6
0.04992041563533691,DefaultB_IPL_1
NA,DefaultB_IPL_2
NA,DefaultB_PFCd_1
NA,DefaultB_PFCd_2
NA,DefaultB_PFCd_3
NA,DefaultB_PFCd_4
NA,DefaultB_PFCd_5
NA,DefaultB_PFCd_6
NA,DefaultB_PFCl_1
NA,DefaultB_PFCl_2
NA,DefaultB_PFCv_1
NA,DefaultB_PFCv_2
NA,DefaultB_PFCv_3
NA,DefaultB_PFCv_4
NA,DefaultB_PFCv_5
NA,DefaultC_IPL_1
NA,DefaultC_Rsp_1
NA,DefaultC_Rsp_2
NA,DefaultC_Rsp_3
NA,DefaultC_PHC_1
NA,DefaultC_PHC_2
NA,DefaultC_PHC_3
NA,TempPar_1
NA,TempPar_2
0.0364040956193863,TempPar_3
NA,TempPar_4
NA,TempPar_5
NA,TempPar_6
NA,VisCent_ExStr_1
NA,VisCent_ExStr_2
NA,VisCent_ExStr_3
NA,VisCent_ExStr_4
NA,VisCent_ExStr_5
NA,VisCent_ExStr_6
NA,VisCent_Striate_1
NA,VisCent_ExStr_7
NA,VisCent_ExStr_8
NA,VisCent_ExStr_9
NA,VisCent_ExStr_10
NA,VisCent_ExStr_11
0.030834670218516238,VisPeri_ExStrInf_1
0.0707783402331968,VisPeri_ExStrInf_2
NA,VisPeri_ExStrInf_3
NA,VisPeri_ExStrInf_4
NA,VisPeri_ExStrInf_5
NA,VisPeri_StriCal_1
NA,VisPeri_StriCal_2
0.04247101538585334,VisPeri_ExStrSup_1
NA,VisPeri_ExStrSup_2
NA,VisPeri_ExStrSup_3
0.041011769333108676,VisPeri_ExStrSup_4
NA,SomMotA_1
NA,SomMotA_2
0.03633015503572666,SomMotA_3
NA,SomMotA_4
NA,SomMotA_5
NA,SomMotA_6
NA,SomMotA_7
NA,SomMotA_8
NA,SomMotA_9
NA,SomMotA_10
NA,SomMotA_11
NA,SomMotA_12
NA,SomMotA_13
NA,SomMotA_14
NA,SomMotA_15
0.03311675401374017,SomMotA_16
NA,SomMotA_17
NA,SomMotA_18
NA,SomMotA_19
NA,SomMotA_20
NA,SomMotB_Aud_1
NA,SomMotB_Aud_2
NA,SomMotB_Ins_1
NA,SomMotB_S2_1
NA,SomMotB_S2_2
0.06571739433878106,SomMotB_Aud_3
NA,SomMotB_S2_3
NA,SomMotB_S2_4
NA,SomMotB_S2_5
0.053314748320971085,SomMotB_S2_6
NA,SomMotB_S2_7
NA,SomMotB_S2_8
NA,SomMotB_Cent_1
0.040835963351508006,SomMotB_Cent_2
0.06006856088326146,SomMotB_Cent_3
NA,DorsAttnA_TempOcc_1
0.07828074816734464,DorsAttnA_TempOcc_2
NA,DorsAttnA_TempOcc_3
NA,DorsAttnA_ParOcc_1
0.07435277586077199,DorsAttnA_ParOcc_2
NA,DorsAttnA_ParOcc_3
0.04401837228862779,DorsAttnA_SPL_1
NA,DorsAttnA_SPL_2
NA,DorsAttnA_SPL_3
NA,DorsAttnA_SPL_4
