sub,ses,task,run,space,desc,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,num_censored_volumes,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal,coregDice,coregPearson,coregCoverage,normDice,normPearson,normCoverage,bids_name,aor,aqi,dummy_trs,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_fg_k,summary_fg_mad,summary_fg_mean,summary_fg_median,summary_fg_n,summary_fg_p05,summary_fg_p95,summary_fg_stdv,tsnr
CBPD0020,1,rest,1,MNI152NLin6Asym,preproc,0.14238048199999942,0.08005513076923076,0.20256,225.00527081231598,45.77811163583807,6,0,0.5188253618142552,0.15842850235036754,0.9474055409008642,0.9413735823649676,0.9788771078842904,0.9303176933253592,0.9115663448665641,0.9794903324287652,sub-CBPD0020_ses-01_task-rest_run-01_bold,0.0019872666666666664,0.006305991133333334,0,41.80543194201342,1.243139660939598,0.9832020306040269,0.5041324531538796,752.83056640625,0.14814607520772224,0,0.0,3.17596,2.938085,3.367475,3.22232,0.0177847,-0.01876330748200417,0.049868650734424584,150,96,96,75,2.2615902898945097,2.0,2.0,2.0,2.0,32.396626825500235,55.11327743530274,395.6358642578125,222.32000732421875,447983.0,176.02667236328125,1252.8367431640613,526.2179565429689,1.0459709184782149,2603.07373046875,7062.8515625,6531.36328125,152726.0,3425.5800170898438,12700.92041015625,2887.942138671875,43.39554977416992
CBPD0233,1,rest,1,MNI152NLin6Asym,preproc,0.4746121761196584,0.09394238125,0.186896,308.1019733094536,59.159223860526765,52,0,0.7574140259303193,0.2637417467103153,0.9487849517820852,0.9422021367641392,0.9873345737737529,0.9353626524148376,0.9182636587433424,0.9873600746268656,sub-CBPD0233_ses-01_task-rest_run-01_bold,0.008643846153846153,0.012696141709401709,0,69.45683288525862,1.1917246275000004,1.0360689527586204,0.5122589953396653,501.655029296875,0.4989302864268249,11,9.401709401709402,3.726145,3.3294349999999997,3.6888900000000002,4.1601099999999995,0.0108036,-0.0007543053361587226,0.0365137979388237,117,96,96,75,1.7644087147644991,2.0,2.0,2.0,2.0,42.96358552891651,64.29679107666016,333.71221923828125,224.59829711914062,421769.0,168.70941162109375,899.0581665039057,363.9554748535156,2.8033770071586845,2078.18408203125,6160.849609375,5333.3037109375,175016.0,2848.81201171875,12487.970703125,3022.705810546875,25.5235538482666
CBPD0171,1,rest,1,MNI152NLin6Asym,preproc,0.6557258535766669,0.1026547216981132,0.199717,319.754702862273,72.43146461740753,133,0,0.8120647889318674,0.25880396334135325,0.9495061765388386,0.9429510468227288,0.9804206139397804,0.9377445490409744,0.9211076737012792,0.9852103120759838,sub-CBPD0171_ses-01_task-rest_run-01_bold,0.00682875,0.022825390958333337,0,67.57170548702926,1.1281417843933057,0.987024409205021,0.5455694625773724,554.9252319335939,0.6762843532699833,51,21.25,3.2473099999999997,2.79373,3.67599,3.27221,0.0143457,-0.004825535695999861,0.05570787936449051,240,96,96,75,2.751574605617784,2.0,2.0,2.0,2.0,26.234604143293843,57.3952522277832,376.4942932128906,219.6333465576172,429375.0,162.25418090820312,1200.0013671875,447.271240234375,0.5680571081446262,1807.755859375,5704.7919921875,5442.5068359375,167898.0,2911.5974975585937,9387.598925781247,1977.9549560546875,22.410797119140625
CBPD0079,1,rest,1,MNI152NLin6Asym,preproc,0.21698411400539985,0.0828206359375,0.1736079999999999,265.89146486731875,54.069698948728934,21,0,0.7838886345756333,0.039430260177391534,0.9530195655871778,0.9465984343352101,0.9891040438952908,0.9392939040895091,0.9233896656078372,0.9917189620081412,sub-CBPD0079_ses-01_task-rest_run-01_bold,0.015937,0.0078689356,0,48.24581031040271,1.4155670342953028,1.144793819865772,0.5310847516635452,682.5822143554688,0.2335055378250853,3,2.0,3.355903333333333,3.05404,3.589,3.42467,0.00688137,-0.016080250963568687,0.0543842650949955,150,96,96,75,2.1077164153501324,2.0,2.0,2.0,2.0,29.049447977083183,64.64146423339844,420.5719909667969,234.1666717529297,414983.0,177.9933319091797,1375.0126464843747,560.328857421875,1.1044969830178646,2741.025390625,7169.044921875,6534.18701171875,180533.0,3406.570654296875,13356.857421874998,3100.11767578125,39.48103713989258
CBPD0007,1,rest,2,MNI152NLin6Asym,preproc,0.8426831021590915,0.07539317843137254,0.187522,380.9693087544194,105.86277261361502,36,0,0.8415278016912139,0.3106462508015027,0.9434882616238782,0.9383907899280888,0.9901999412121554,0.9308901653695332,0.9127263333244806,0.9874406377204884,sub-CBPD0007_ses-01_task-rest_run-02_bold,0.04155,0.020232019545454547,0,81.68552159655171,1.5209632531034485,1.315344702873563,0.5006054465753238,645.8607788085938,0.9098033728574184,21,23.863636363636363,3.237205,2.9403,3.407835,3.3634800000000005,0.031761700000000004,-0.012307211756706238,0.0272911973297596,88,96,96,75,2.5498653966360667,2.0,2.0,2.0,2.0,39.175874326508016,41.293853759765625,315.72064208984375,202.2386474609375,459969.0,165.375,947.6954833984367,377.0836181640625,1.0791908695625951,1825.488037109375,5829.81396484375,5398.59130859375,142779.0,3247.48876953125,9974.6412109375,2117.198974609375,22.433574676513672
CBPD0068,1,rest,1,MNI152NLin6Asym,preproc,0.2189389311333332,0.05884661777777778,0.174869,216.1570443754467,40.25516153602207,14,0,0.8790636467552999,0.14883058132958404,0.9419153694408092,0.9357617745489224,0.9771467793244584,0.9297449161074836,0.9109241088755881,0.9808387042062416,sub-CBPD0068_ses-01_task-rest_run-01_bold,0.006848201438848921,0.004652591726618705,11,37.18231386405797,1.2274808613768118,1.0626300768115942,0.5046673417910267,616.3230590820312,0.13823025403802053,2,1.4388489208633093,3.2436534004843263,2.9792349999999996,3.3798202014529823,3.3719050000000004,0.0209604,0.002051931107416749,0.042349215596914284,139,96,96,75,2.081257197816644,2.0,2.0,1.9999998807907104,2.0,24.214819293247405,55.92289733886719,417.01611328125,222.81295776367188,453534.0,174.39569091796875,1491.0489746093738,579.5286254882812,1.6076432757519523,2199.082763671875,6518.150390625,5894.25927734375,147407.0,3163.261279296875,12400.061816406236,2832.05712890625,46.55101013183594
CBPD0149,1,rest,1,MNI152NLin6Asym,preproc,0.2733628515038164,0.08048009687499999,0.15782000000000002,243.82045063458224,59.34606705282052,34,0,0.8050948829188873,-0.012458531821291072,0.9330750525671472,0.926187100713592,0.992287740650124,0.9214593537102732,0.9012422618273964,0.9895861601085482,sub-CBPD0149_ses-01_task-rest_run-01_bold,0.00779763358778626,0.009644281832061069,0,59.64810626661539,1.4483312853846158,1.073665138538462,0.5309475570523023,483.82354736328125,0.26957866729662044,5,3.816793893129771,3.2303017908206653,2.8564501702576983,3.4420300000000004,3.392425202204299,0.0191108,-0.005449273623526096,0.045885879546403885,131,96,96,75,2.2509393546683127,2.0,1.9999998807907104,2.0,1.9999998807907104,39.89400978034476,54.629920959472656,360.2942199707031,215.114501953125,435860.0,169.52671813964844,1103.4583923339842,425.6965637207031,1.9050795909724512,1851.1875,5478.28564453125,5019.80908203125,163134.0,2775.009619140625,9877.793066406253,2230.08837890625,35.02370834350586
CBPD0225,1,rest,2,MNI152NLin6Asym,preproc,0.24654126803295506,0.0787856796875,0.20855,246.48087009946968,62.376255904307655,47,0,0.7850284182717873,0.2620128077067611,0.9474862913704616,0.940849355214706,0.99040117468142,0.9351991276805648,0.9183919788003699,0.9928044436906376,sub-CBPD0225_ses-01_task-rest_run-02_bold,0.004265227272727273,0.007885595738636364,0,47.420828410057155,1.201623592628572,1.0251251659428566,0.5278732795872556,649.1854858398438,0.2794001669782815,5,2.8409090909090913,3.295513333333333,2.99685,3.473075,3.416615,0.00788137,-0.01585439220070839,0.05069862306118012,176,96,96,75,2.1155602849483,2.0,2.0,2.0,2.0,26.609578561557697,69.81709289550781,392.4725646972656,228.125,421589.0,162.02273559570312,1301.126171874999,513.7582397460939,1.3703552995773007,2485.9619140625,6831.99658203125,6192.630859375,175479.0,3322.977294921875,12640.97392578125,2927.174072265625,37.95538711547852
CBPD0125,1,rest,1,MNI152NLin6Asym,preproc,0.09079482027807656,0.05776182154696133,0.169077,219.23243099951424,35.9708166041319,0,0,0.2993286054005173,0.02694085658991387,0.9399595329246234,0.9317959299427336,0.9861463417218052,0.9264907361679756,0.9072185842931682,0.9863763568521032,sub-CBPD0125_ses-01_task-rest_run-01_bold,0.0011728021978021975,0.004090628516483517,0,40.66523142011051,1.315687371878453,1.0076282391160212,0.5445137935041069,582.8076782226562,0.08814963440387644,0,0.0,3.2453116666666664,3.023645,3.4061199999999996,3.30617,0.013221100000000001,-0.010907772928476334,0.05271191149950028,182,96,96,75,2.063175196177157,2.0,2.0,2.0,2.0,20.71378185792024,75.0098876953125,458.0068054199219,247.06593322753903,406942.0,181.4505615234375,1651.2572021484366,599.6324462890625,1.4929941079644076,2705.052734375,7051.244140625,6407.25,187160.0,3276.16298828125,13178.102539062498,3105.5205078125,52.75814056396485
CBPD0071,1,rest,1,MNI152NLin6Asym,preproc,0.8859408059599997,0.0841490240506329,0.178527,396.6238331080584,56.009837949083824,70,0,0.8178242232418576,0.5713320063185826,0.9530903045471046,0.946374513109602,0.9835792670374702,0.9395160231749896,0.9233707051144652,0.986342435549525,sub-CBPD0071_ses-01_task-rest_run-01_bold,0.03099154362416108,0.025781997651006708,1,71.61120657033784,1.3094506460810809,1.1972822356756765,0.5496172059134055,542.009521484375,0.9254329605859672,21,14.093959731543624,3.2715650000000003,2.863005,3.537415,3.414275,0.0207402,-0.009794282726943493,0.05414992943406105,149,96,96,75,2.3778601465241027,2.0,2.0,2.0,2.0,25.617227003760053,79.20479583740234,434.5491638183594,241.7986602783203,415149.0,169.671142578125,1450.2067138671866,548.857177734375,0.8039860659090592,2359.437744140625,6408.77783203125,5985.80517578125,180821.0,3185.255126953125,11288.490234375,2517.300537109375,18.834836959838867
