H_all2,H_all3,H_all4,H_all5,H_all6,H_all7,H_all8,H_all11,H_all15,H_all22,H_all27,H_all28,H_all31,H_all32,H_all36,H_all37,H_all38,H_all304,H_all305,H_all306,H_all307,H_all308,H_all309,H_all310,H_all313,H_all317,H_all324,H_all329,H_all330,H_all333,H_all334,H_all338,H_all339,H_all340,age,gender
0.905937749,0.793532917,1.033592822,1.015623957,1.054826891,0.925612962,0.984156817,1.050124469,0.886919439,0.991471417,0.784703997,0.821464257,0.974615944,0.98030491,0.807366075,0.911673521,0.911849842,0.86261711,1.021572332,0.90549052,1.004220798,0.994988305,0.950646703,1.00162298,0.938162406,0.798069115,0.982097708,0.787051258,0.759092804,0.845479259,0.89105729,0.834454418,0.847730089,0.906580416,1,F
0.886646241,0.804016696,0.830535772,0.808268192,0.964832711,0.908473452,0.997686984,0.880144231,0.792713755,0.827766842,0.915575273,0.80791121,1.037964585,0.920136293,0.925245006,0.905114371,0.867903991,0.902376693,0.80323929,0.820578375,0.870062912,0.81685272,0.922189849,0.806829649,0.802180508,0.911621097,0.882622078,0.93717047,0.744801394,1.205090412,0.904760737,0.835853576,0.780735085,0.882511,1,F
0.997950164,0.889553502,0.818151128,0.945879908,0.795725166,0.925282997,0.906605838,0.816937249,0.768105086,0.835839002,0.841428021,0.934823313,0.809487124,0.884618117,0.760622286,0.821634682,0.799693591,0.914117711,0.835785557,0.849242916,0.886217538,0.79156181,0.859398572,0.843706928,0.855489204,0.853605124,1.012709749,0.92568286,0.872863153,0.992571248,0.905970541,0.873933178,0.879653252,0.835943508,1,F
0.71776431,0.841876995,0.912216391,0.90398745,0.910858372,0.790559546,0.824475391,0.959732467,0.798017854,0.895320928,0.770232621,0.720340301,1.025345872,0.845034946,0.840964916,0.763963584,0.776176389,0.835050364,0.75953531,0.962455402,0.82150779,0.945985559,0.772803758,0.896216378,0.920523551,0.67866574,0.881609694,0.708842277,0.859492547,0.911695098,0.893979248,0.875491767,0.873500542,0.822519049,1,F
1.096885667,0.867790371,0.91602388,0.979716856,0.972630886,0.91501683,1.033276836,0.974636047,0.840312926,0.945475937,1.086208796,0.888336349,0.887232577,1.036154273,0.911303086,0.854053467,0.817901431,0.940235826,0.889459887,0.90539159,0.985742407,0.90957605,0.96743627,1.005906209,1.007688135,0.985435415,1.007956126,1.092918748,0.890321876,0.95803191,1.05123155,0.934495239,0.744273412,0.74820196,2,F
0.935113263,0.8326603,0.90331353,0.739315102,0.904002011,0.81586902,0.777705393,0.819588652,0.83656401,0.830195527,0.849673542,1.000250195,0.816285261,0.919809192,0.878884925,1.013514386,0.920407532,0.80457993,0.898044808,0.927888353,0.768245957,0.852985481,0.876147092,0.815366161,0.866307865,0.809782788,0.747737181,0.962458894,0.989577238,0.872787822,0.861779534,0.88150215,0.773042298,0.830164069,2,F
0.936507942,0.905895862,0.949902111,0.959259026,0.75629822,1.113095854,0.788669584,1.041749976,0.837822359,0.750196893,0.923193543,0.838078334,1.02280863,0.82138386,0.945606882,0.966150763,0.882580412,0.858969869,0.837658888,0.980227573,0.836725605,0.88427404,0.881154227,0.903845702,1.029833223,1.999999963,1.999999963,0.817488421,0.848791673,0.794089064,0.902934471,1.999999963,1.999999963,1.999999963,1,F
0.973266777,0.90494074,0.846037838,0.922750617,0.896708314,0.922484858,0.898711426,0.908369596,0.761665629,0.770388477,0.946589852,0.657873467,0.893809884,0.850702391,0.878079528,0.847887377,0.931735053,0.849439871,0.774406406,0.796607349,0.742804821,0.738653724,0.905588816,0.768857864,0.896580714,0.809194737,0.758466965,0.763932279,0.861269152,0.788100387,0.890220739,0.781052806,0.777662068,0.777085655,1,F
0.894796498,0.901719869,0.944091052,0.945004569,0.904044814,0.887347691,0.985411888,1.015792983,0.845655083,0.92495651,0.8742998,0.828015178,0.894930742,0.827731497,0.964864197,1.015069381,1.053212512,0.889058813,0.770361709,0.840189785,0.86918292,0.89509651,0.883956517,0.847575235,0.992430397,0.967249643,0.809253446,0.868901369,0.812347946,0.848295057,0.792716801,1.11397885,0.960265171,0.930106806,2,F
0.892981295,0.93440106,0.890487332,0.9789866,0.827347386,0.935625824,0.833099695,1.013768152,0.815604375,0.808489072,0.819115119,0.783461478,0.87520998,0.982112834,0.833753207,0.757617169,0.750022796,0.77785781,0.763993427,1.999999963,0.761554767,1.999999963,1.999999963,1.999999963,0.813849698,0.989306461,0.881063417,0.822218262,1.999999963,0.888973947,0.92951375,0.810771699,0.760021274,0.73625617,2,F
