marker,age,value,RSP,Tel,PedHy,p3,p2,p1,M,PPH,PH,PMH,MH
DLX2,P4,raw,0.55,0.64,0.47,0.47,0.13,0.04,0.07,0.11,0.22,0.13,0.09
DLX2,P4,log,-0.85,-0.65,-1.1,-1.08,-2.92,-4.48,-3.83,-3.21,-2.21,-2.9,-3.53
DLX2,P14,raw,0.73,0.59,0.4,0.23,0.16,0.07,0.1,0.3,0.66,0.85,1.06
DLX2,P14,log,-0.45,-0.75,-1.32,-2.11,-2.62,-3.93,-3.31,-1.73,-0.6,-0.23,0.08
DLX2,P28,raw,0.03,0.18,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02
DLX2,P28,log,-4.79,-2.45,-5.71,-5.35,-6.86,-5.93,-6.63,-6.71,-5.49,-5.64,-5.79
DLX2,P56,raw,0.76,0.78,0.27,0.2,0.11,0.11,0.22,0.54,0.47,0.43,0.78
DLX2,P56,log,-0.39,-0.36,-1.9,-2.32,-3.2,-3.17,-2.19,-0.88,-1.08,-1.22,-0.37
DLX2,P56,raw,-0.4,0.33,0.18,0.11,0.08,0.13,0.24,0.27,0.13,0.09,0.22
DLX2,P56,log,-1.31,-1.61,-2.49,-3.2,-3.64,-2.92,-2.06,-1.87,-2.92,-3.54,-2.17
DLX1,P4,raw,2.03,1.3,1.78,1.96,0.3,0.06,0.22,0.16,0.3,0.27,0.31
DLX1,P4,log,1.02,0.38,0.83,0.54,-1.74,-4.05,-2.16,-2.65,-1.76,-1.88,-1.67
DLX1,P14,raw,0.11,0.27,0.05,0.07,0.07,0.04,0.15,0.08,0.04,0.05,0.09
DLX1,P14,log,-3.14,-1.9,-4.29,-3.93,-3.84,-4.63,-2.69,-3.63,-4.67,-4.46,-3.55
DLX1,P28,raw,0.22,0.2,0.07,0.04,0.03,0.03,0.1,0.02,0.06,0.04,0.03
DLX1,P28,log,-2.22,-2.29,-3.87,-4.82,-4.96,-5.18,-3.31,-5.41,-4.17,-4.8,-5.27
DLX1,P56,raw,7.89,5.11,5.38,3.83,3.09,2.41,2.53,2.7,4.94,4.64,5.43
DLX1,P56,log,2.98,2.35,2.43,1.94,1.63,1.27,1.34,1.43,2.3,2.21,2.44
DLX1,P56,raw,0.03,0.18,0.04,0.04,0.02,0.01,0.03,0.03,0.02,0.01,0.01
DLX1,P56,log,-5.08,-2.5,-4.64,-4.82,-5.69,-6.11,-5.19,-5.11,-5.99,-6.85,-6.43
