sa,donor_id,PVALB,SST,VIP,GAD1,GAD2,Hurst
1,12831.0,6.827778829252761,6.389646791017019,3.4682547308824723,4.496375486141503,3.8635153894214027,1.113711548329416
2,12831.0,5.345112606105215,6.952672520274548,4.248320480421442,4.282463528470792,4.062899420967616,1.088036627849796
7,12831.0,4.7233319826766955,7.165886792019541,3.7801290683081317,4.303389085492873,3.864297395062151,1.086082042975213
3,12831.0,6.0413701894834855,6.9730013875712125,3.7969696963356925,4.2880353593507845,3.789146839999214,1.113194958451601
9,12831.0,3.872008011777886,7.52436289987682,4.792952049244003,4.564410485547638,3.962830316404273,1.0617454100164267
4,12831.0,6.041638258414671,6.993463794869858,3.348243043918144,4.0771754778570255,3.665708496590411,1.1046945622775128
6,12831.0,5.490768583629598,7.073190351712617,3.969960526369768,4.304856487945608,3.7775319704453767,1.1326164290026202
8,12831.0,4.545792159331319,7.4799923124923335,3.8437512459801404,4.438529399568898,4.060820505997632,1.0772523601850188
10,12831.0,5.287511745580897,7.512020432640082,3.6728149867387687,4.366827016722385,4.083784290136779,1.1047345566081066
11,12831.0,5.241737849240568,7.394609426168994,3.7879044394633823,4.291731364659718,4.081142743416572,1.1249255679409749
5,12831.0,5.338518582684093,7.154893896640916,4.881970743562307,4.557663792491527,3.9256010088728144,1.13175777824822
